business,house_no,street,zip,post_city,e911_muni,dor_situs,dor_city,postal_county,nearest_seam_ft,seam_side_a,seam_side_b,risk_band,flag,addr_match_ft,lon,lat
MCDONALDS,705.0,S CUMBERLAND ST,37087,LEBANON,Lebanon,9501,LEBANON,,5524.243269022584,9500,9501,NORMAL,,28.490879610355915,-86.2959161750045,36.1877281222085
ECONO LODGE,829.0,S CUMBERLAND ST,37087,LEBANON,Lebanon,9501,LEBANON,,4939.484498752202,9500,9501,NORMAL,,79.61414449568345,-86.2978412116986,36.1835816944016
TACO BELL,823.0,S CUMBERLAND ST,37087,LEBANON,Lebanon,9501,LEBANON,,5078.7141494748685,9500,9501,NORMAL,,24.63510266762194,-86.29756435845,36.18402339900392
WAFFLE HOUSE,819.0,S CUMBERLAND ST,37087,LEBANON,Lebanon,9501,LEBANON,,5214.039645226194,9500,9501,NORMAL,,42.07590350805769,-86.2975630805847,36.184403271245905
PIZZA HUT,817.0,S CUMBERLAND ST,37087,LEBANON,Lebanon,9501,LEBANON,,5234.912547894756,9500,9501,NORMAL,,42.58440053538018,-86.2974649997091,36.18460381354902
HOLIDAY INN EXPRESS,826.0,S CUMBERLAND ST,37087,LEBANON,Lebanon,9501,LEBANON,,5009.746939666359,9500,9501,NORMAL,,82.08093972023501,-86.3000506672277,36.183235367757426
DAYS INN,822.0,S CUMBERLAND ST,37087,LEBANON,Lebanon,9501,LEBANON,,5166.359816444948,9500,9501,NORMAL,,84.20276587914884,-86.2991215108988,36.1839473119497
LOS COMPADRES,818.0,S CUMBERLAND ST,37087,LEBANON,Lebanon,9501,LEBANON,,5394.582162866615,9500,9501,NORMAL,,39.05438681311073,-86.2986372776906,36.18470965399369
SHONEYS,814.0,S CUMBERLAND ST,37087,LEBANON,Lebanon,9501,LEBANON,,5509.827611079671,9500,9501,NORMAL,,20.08045205318648,-86.2983546419075,36.1850931860238
EXXON TIGER MARKET,810.0,S CUMBERLAND ST,37087,LEBANON,Lebanon,9501,LEBANON,,5508.935906745312,9500,9501,NORMAL,,53.877079975657054,-86.2979411208117,36.18543818077031
KENTUCKY FRIED CHICKEN,710.0,S CUMBERLAND ST,37087,LEBANON,Lebanon,9501,LEBANON,,5754.005067833243,9500,9501,NORMAL,,36.10179806849207,-86.2971690978575,36.18750576510941
CHICK-FIL-A,706.0,S CUMBERLAND ST,37087,LEBANON,Lebanon,9501,LEBANON,,5800.956107606287,9500,9501,NORMAL,,48.528209401642144,-86.2969550025458,36.1879186187523
SUBWAY,704.0,S CUMBERLAND ST,37087,LEBANON,Lebanon,9501,LEBANON,,5845.145006103046,9500,9501,NORMAL,,43.63057468071912,-86.2966961680202,36.18834339626059
RAMADA INN,704.0,S CUMBERLAND ST,37087,LEBANON,Lebanon,9501,LEBANON,,5887.4912218420395,9500,9501,NORMAL,,14.57591582280276,-86.2965670199798,36.18863016337691
HARDEES,701.0,S CUMBERLAND ST,37087,LEBANON,Lebanon,9501,LEBANON,,5706.621174589063,9500,9501,NORMAL,,43.42224369036025,-86.2957245211252,36.18862459917431
ALL AMERICAN WINE & SPIRITS,703.0,S CUMBERLAND ST,37087,LEBANON,Lebanon,9501,LEBANON,,5425.841670737996,9500,9501,NORMAL,,25.332675982738877,-86.2952652890481,36.18790082507181
MAPCO,803.0,S CUMBERLAND ST,37087,LEBANON,Lebanon,9501,LEBANON,,5386.049621925809,9500,9501,NORMAL,,17.412453472468975,-86.2966258259307,36.18642235587819
WENDYS,807.0,S CUMBERLAND ST,37087,LEBANON,Lebanon,9501,LEBANON,,5377.710992601629,9500,9501,NORMAL,,41.60502194242886,-86.2970235663344,36.18592943004771
EL MOLINO,809.0,S CUMBERLAND ST,37087,LEBANON,Lebanon,9501,LEBANON,,5336.221125455462,9500,9501,NORMAL,,38.1933887559286,-86.2971457796209,36.185574311238
ARBYS,813.0,S CUMBERLAND ST,37087,LEBANON,Lebanon,9501,LEBANON,,5183.718793698689,9500,9501,NORMAL,,34.78750828513761,-86.2969285686211,36.185068370529194
QUALITY INN,641.0,S CUMBERLAND ST,37087,LEBANON,Lebanon,9501,LEBANON,,5710.627823102031,9500,9501,NORMAL,,90.99585648386669,-86.2949632680397,36.1893939627113
ALDI,108.0,CIRCLE DR,37087,LEBANON,Lebanon,9501,LEBANON,,6282.090467819358,9500,9501,NORMAL,,98.06947855644196,-86.2972548193798,36.1896170669434
ZAXBY'S,638.0,S CUMBERLAND ST,37087,LEBANON,Lebanon,9501,LEBANON,,6089.410933162713,9500,9501,NORMAL,,46.774240823039804,-86.2960666592587,36.18994065797649
DUNKIN DONUTS,636.0,S CUMBERLAND ST,37087,LEBANON,Lebanon,9501,LEBANON,,6139.156875123387,9500,9501,NORMAL,,38.82652453661404,-86.2958733395803,36.190352416614495
PANERA BREAD,639.0,S CUMBERLAND ST,37087,LEBANON,Lebanon,9501,LEBANON,,5813.133966934186,9500,9501,NORMAL,,28.339766558374325,-86.294969605576,36.18983270085919
CRACKER BARREL,635.0,S CUMBERLAND ST,37087,LEBANON,Lebanon,9501,LEBANON,,5787.344758312438,9500,9501,NORMAL,,40.647465854064805,-86.2944579588501,36.19020402990079
BEST WESTERN EXECUTIVE INN ,631.0,S CUMBERLAND ST,37087,LEBANON,Lebanon,9501,LEBANON,,6008.81385720994,9500,9501,NORMAL,,90.54624862804903,-86.2946512836487,36.1909322708044
GONDOLA ,625.0,S CUMBERLAND ST,37087,LEBANON,Lebanon,9501,LEBANON,,6075.491337970896,9500,9501,NORMAL,,26.924316991789443,-86.2942017770513,36.191562882797484
ASHLEY HOME STORE,56.0,BELINDA PKWY,37122,MT JULIET,Mt. Juliet,9503,MT. JULIET,,1499.5980104629111,9500,9503,NORMAL,,96.34634162487203,-86.5085994417746,36.17133042872549
TWO RIVERS FORD,76.0,BELINDA PKWY,37122,MT JULIET,Mt. Juliet,9503,MT. JULIET,,641.9311791278026,9500,9503,WATCH,,103.22931471586509,-86.5036634562868,36.171174668353004
NOBU HIBACHI,401.0,S MT JULIET RD,37122,MT JULIET,Mt. Juliet,9503,MT. JULIET,,1563.2865182876808,9500,9503,NORMAL,,34.58660640166515,-86.507404315735,36.16999636581932
TACO BELL,401.0,S MT JULIET RD,37122,MT JULIET,Mt. Juliet,9503,MT. JULIET,,1781.2838910031464,9500,9503,NORMAL,,18.305823876716786,-86.50852063064342,36.1701690792857
DISCOUNT TIRE,401.0,S MT JULIET RD,37122,MT JULIET,Mt. Juliet,9503,MT. JULIET,,1625.7780860850871,9500,9503,NORMAL,,17.940552057161185,-86.5079399892927,36.1702459233521
TARGET,401.0,S MT JULIET RD,37122,MT JULIET,Mt. Juliet,9503,MT. JULIET,,2081.6403705106595,9500,9503,NORMAL,,176.4841980752341,-86.508176056819,36.168624378224
DICK'S SPORTING GOODS,401.0,S MT JULIET RD,37122,MT JULIET,Mt. Juliet,9503,MT. JULIET,,2260.6379261120937,9500,9503,NORMAL,,110.26797991457846,-86.5078885955387,36.16782198864821
LOWE'S ,634.0,S CUMBERLAND ST,37087,LEBANON,Lebanon,9501,LEBANON,,6686.345228752259,9500,9501,NORMAL,,110.87836596820549,-86.2973927227511,36.191221235666106
ASPEN DENTAL ,604.0,S CUMBERLAND ST,37087,LEBANON,Lebanon,9501,LEBANON,,6563.576893675157,9500,9501,NORMAL,,35.378145360072544,-86.2944404450253,36.1932057435885
OFFICEMAX,415.0,S CUMBERLAND ST,37087,LEBANON,Lebanon,9501,LEBANON,,7197.009386149016,9500,9501,NORMAL,,97.25988117468042,-86.2919758471927,36.1980089219142
PINNACLE,411.0,S CUMBERLAND ST,37087,LEBANON,Lebanon,9501,LEBANON,,7007.803344289725,9500,9501,NORMAL,,53.80180879667739,-86.2917701881205,36.19888454030239
TENNESSEE QUICK CASH,408.0,S CUMBERLAND ST,37087,LEBANON,Lebanon,9501,LEBANON,,7183.619531518686,9500,9501,NORMAL,,33.6821243977242,-86.2926900533444,36.1994164479463
RACE TRAC,405.0,S CUMBERLAND ST,37087,LEBANON,Lebanon,9501,LEBANON,,6898.839609006629,9500,9501,NORMAL,,50.584613129391066,-86.2916782117842,36.199473740200105
WHITTS BARBECUE,401.0,S CUMBERLAND ST,37087,LEBANON,Lebanon,9501,LEBANON,,6828.23648565775,9500,9501,NORMAL,,30.84259041147628,-86.2918065169538,36.20028273835141
DONUT PALACE,175.0,TENNESSEE BLVD,37087,LEBANON,Lebanon,9501,LEBANON,,6701.777091269084,9500,9501,NORMAL,,21.349152407326187,-86.2913332998676,36.20024572808949
NEWMAN DENTAL ASSOCIATES,337.0,S CUMBERLAND ST,37087,LEBANON,Lebanon,9501,LEBANON,,6769.146678279774,9500,9501,NORMAL,,38.39382420686422,-86.2918012877965,36.20076464721342
