BUSINESS_NAME,dor_situs,dor_city,comp_city,nearest_seam_ft,risk_band,lon,lat
MCDONALDS,9501,LEBANON,Lebanon,5524.243269022584,NORMAL,-86.2959161750045,36.1877281222085
ECONO LODGE,9501,LEBANON,Lebanon,4939.484498752202,NORMAL,-86.2978412116986,36.1835816944016
TACO BELL,9501,LEBANON,Lebanon,5078.7141494748685,NORMAL,-86.29756435845,36.18402339900392
WAFFLE HOUSE,9501,LEBANON,Lebanon,5214.039645226194,NORMAL,-86.2975630805847,36.184403271245905
PIZZA HUT,9501,LEBANON,Lebanon,5234.912547894756,NORMAL,-86.2974649997091,36.18460381354902
HOLIDAY INN EXPRESS,9501,LEBANON,Lebanon,5009.746939666359,NORMAL,-86.3000506672277,36.183235367757426
DAYS INN,9501,LEBANON,Lebanon,5166.359816444948,NORMAL,-86.2991215108988,36.1839473119497
LOS COMPADRES,9501,LEBANON,Lebanon,5394.582162866615,NORMAL,-86.2986372776906,36.18470965399369
SHONEYS,9501,LEBANON,Lebanon,5509.827611079671,NORMAL,-86.2983546419075,36.1850931860238
EXXON TIGER MARKET,9501,LEBANON,Lebanon,5508.935906745312,NORMAL,-86.2979411208117,36.18543818077031
KENTUCKY FRIED CHICKEN,9501,LEBANON,Lebanon,5754.005067833243,NORMAL,-86.2971690978575,36.18750576510941
CHICK-FIL-A,9501,LEBANON,Lebanon,5800.956107606287,NORMAL,-86.2969550025458,36.1879186187523
SUBWAY,9501,LEBANON,Lebanon,5845.145006103046,NORMAL,-86.2966961680202,36.18834339626059
RAMADA INN,9501,LEBANON,Lebanon,5887.4912218420395,NORMAL,-86.2965670199798,36.18863016337691
HARDEES,9501,LEBANON,Lebanon,5706.621174589063,NORMAL,-86.2957245211252,36.18862459917431
ALL AMERICAN WINE & SPIRITS,9501,LEBANON,Lebanon,5425.841670737996,NORMAL,-86.2952652890481,36.18790082507181
MAPCO,9501,LEBANON,Lebanon,5386.049621925809,NORMAL,-86.2966258259307,36.18642235587819
WENDYS,9501,LEBANON,Lebanon,5377.710992601629,NORMAL,-86.2970235663344,36.18592943004771
EL MOLINO,9501,LEBANON,Lebanon,5336.221125455462,NORMAL,-86.2971457796209,36.185574311238
ARBYS,9501,LEBANON,Lebanon,5183.718793698689,NORMAL,-86.2969285686211,36.185068370529194
QUALITY INN,9501,LEBANON,Lebanon,5710.627823102031,NORMAL,-86.2949632680397,36.1893939627113
ALDI,9501,LEBANON,Lebanon,6282.090467819358,NORMAL,-86.2972548193798,36.1896170669434
ZAXBY'S,9501,LEBANON,Lebanon,6089.410933162713,NORMAL,-86.2960666592587,36.18994065797649
DUNKIN DONUTS,9501,LEBANON,Lebanon,6139.156875123387,NORMAL,-86.2958733395803,36.190352416614495
PANERA BREAD,9501,LEBANON,Lebanon,5813.133966934186,NORMAL,-86.294969605576,36.18983270085919
CRACKER BARREL,9501,LEBANON,Lebanon,5787.344758312438,NORMAL,-86.2944579588501,36.19020402990079
BEST WESTERN EXECUTIVE INN ,9501,LEBANON,Lebanon,6008.81385720994,NORMAL,-86.2946512836487,36.1909322708044
GONDOLA ,9501,LEBANON,Lebanon,6075.491337970896,NORMAL,-86.2942017770513,36.191562882797484
ASHLEY HOME STORE,9503,MT. JULIET,Mt. Juliet,1499.5980104629111,NORMAL,-86.5085994417746,36.17133042872549
TWO RIVERS FORD,9503,MT. JULIET,Mt. Juliet,641.9311791278026,WATCH,-86.5036634562868,36.171174668353004
NOBU HIBACHI,9503,MT. JULIET,Mt. Juliet,1563.2865182876808,NORMAL,-86.507404315735,36.16999636581932
TACO BELL,9503,MT. JULIET,Mt. Juliet,1781.2838910031464,NORMAL,-86.50852063064342,36.1701690792857
DISCOUNT TIRE,9503,MT. JULIET,Mt. Juliet,1625.7780860850871,NORMAL,-86.5079399892927,36.1702459233521
TARGET,9503,MT. JULIET,Mt. Juliet,2081.6403705106595,NORMAL,-86.508176056819,36.168624378224
DICK'S SPORTING GOODS,9503,MT. JULIET,Mt. Juliet,2260.6379261120937,NORMAL,-86.5078885955387,36.16782198864821
LOWE'S ,9501,LEBANON,Lebanon,6686.345228752259,NORMAL,-86.2973927227511,36.191221235666106
ASPEN DENTAL ,9501,LEBANON,Lebanon,6563.576893675157,NORMAL,-86.2944404450253,36.1932057435885
OFFICEMAX,9501,LEBANON,Lebanon,7197.009386149016,NORMAL,-86.2919758471927,36.1980089219142
PINNACLE,9501,LEBANON,Lebanon,7007.803344289725,NORMAL,-86.2917701881205,36.19888454030239
TENNESSEE QUICK CASH,9501,LEBANON,Lebanon,7183.619531518686,NORMAL,-86.2926900533444,36.1994164479463
RACE TRAC,9501,LEBANON,Lebanon,6898.839609006629,NORMAL,-86.2916782117842,36.199473740200105
WHITTS BARBECUE,9501,LEBANON,Lebanon,6828.23648565775,NORMAL,-86.2918065169538,36.20028273835141
DONUT PALACE,9501,LEBANON,Lebanon,6701.777091269084,NORMAL,-86.2913332998676,36.20024572808949
NEWMAN DENTAL ASSOCIATES,9501,LEBANON,Lebanon,6769.146678279774,NORMAL,-86.2918012877965,36.20076464721342
CHARLIE'S  TIRE STORE,9501,LEBANON,Lebanon,6885.499450351684,NORMAL,-86.2924103807669,36.20126678520899
BIG DADDY'S WORLD OF FLOOORING,9501,LEBANON,Lebanon,6744.199263570002,NORMAL,-86.2919042841727,36.20125084116821
VALVOLINE INSTANT OIL CHANGE,9501,LEBANON,Lebanon,6665.529368211255,NORMAL,-86.2917501847299,36.2015888624237
QUIK STOP DISCOUNT OUTLET,9501,LEBANON,Lebanon,6624.420759798268,NORMAL,-86.29212118402891,36.202627617204506
BLUEGRASS GLASS & MIRROR,9501,LEBANON,Lebanon,6409.3022683641775,NORMAL,-86.2919405227383,36.20406258346701
SHENANDOAH MILLS INC,9501,LEBANON,Lebanon,5988.051661550225,NORMAL,-86.29121348947642,36.2063811402172
WILSON COUNTY CIRCUIT COURT,9501,LEBANON,Lebanon,5741.718926334002,NORMAL,-86.2903186806423,36.206444338058105
LANNOM AND WILLIAMS,9501,LEBANON,Lebanon,5777.2748900659,NORMAL,-86.2910749220003,36.207536306817914
LAW OFFICES OF HUGH GREEN,9501,LEBANON,Lebanon,5573.824251107003,NORMAL,-86.2905748707084,36.20802481100359
MARKHAMS SHOES,9501,LEBANON,Lebanon,5561.1783062563045,NORMAL,-86.2905675147786,36.20810504393034
SEAT STUDIO,9501,LEBANON,Lebanon,5954.659513974072,NORMAL,-86.2917756963092,36.20764096490861
BURGER KING,9501,LEBANON,Lebanon,5667.476721780615,NORMAL,-86.2912749911992,36.20884797774149
FRANK'S AUTO REPAIR,9501,LEBANON,Lebanon,5430.8319154265355,NORMAL,-86.2906143143627,36.20931407340251
CORNER GARAGE,9501,LEBANON,Lebanon,5613.199052770408,NORMAL,-86.2912982939592,36.20942459392771
SHERWIN-WILLIAMS CO,9501,LEBANON,Lebanon,5549.272218024839,NORMAL,-86.29114904394972,36.209645759675915
LIBERTY STATE BANK,9501,LEBANON,Lebanon,5484.629395564393,NORMAL,-86.2910421367034,36.21001991030711
FIRST INSURANCE GROUP,9501,LEBANON,Lebanon,5312.301241569741,NORMAL,-86.2903919073616,36.2098707740488
HD AESTHETICS,9501,LEBANON,Lebanon,5377.459095780269,NORMAL,-86.2905821511911,36.20975490537778
BUCKEYE DRUG CENTER,9501,LEBANON,Lebanon,5045.17792710018,NORMAL,-86.2897486818914,36.2108588279639
UPTOWN MOTEL,9501,LEBANON,Lebanon,5368.017030217834,NORMAL,-86.2909561368389,36.21128073201122
BUDDYS HOME FURNISHING,9501,LEBANON,Lebanon,5013.559997547916,NORMAL,-86.28968784454601,36.211057980616594
HAVEN HOUSE THRIFT SHOP,9501,LEBANON,Lebanon,4992.733905260634,NORMAL,-86.2896515231087,36.21121384858639
